symbol,stock_name,timestamp,rank,weight,reason,signal,score,selected,criteria_check_sig_anchor_close_gt_ma_20,criteria_check_sig_anchor_close_pos,criteria_check_sig_anchor_close_vs_ma60,criteria_check_sig_anchor_macd_histogram,criteria_check_sig_anchor_net_flow,criteria_check_sig_anchor_rsi_14,criteria_check_sig_anchor_volume_ratio_20,criteria_check_sig_anchor_volume_ratio_5,criteria_check_sig_explosive_close_gt_ma_20,criteria_check_sig_explosive_close_pos,criteria_check_sig_explosive_net_flow,criteria_check_sig_explosive_price_change_pct,criteria_check_sig_explosive_volume_ratio_20,criteria_check_sig_explosive_volume_ratio_5,criteria_close,criteria_close_pos,criteria_close_vs_ma60,criteria_indicator,criteria_ma_20,criteria_ma_60,criteria_macd_histogram,criteria_net_flow,criteria_price_change_pct,criteria_rsi_14,criteria_selected_setup,criteria_sig_anchor,criteria_sig_explosive,criteria_signal_formula,criteria_strategy,criteria_threshold_sig_anchor_close_pos_min,criteria_threshold_sig_anchor_close_vs_ma60_min,criteria_threshold_sig_anchor_macd_histogram_min,criteria_threshold_sig_anchor_rsi_14_min,criteria_threshold_sig_anchor_volume_ratio_20_min,criteria_threshold_sig_anchor_volume_ratio_5_min,criteria_threshold_sig_explosive_close_pos_min,criteria_threshold_sig_explosive_price_change_pct_min,criteria_threshold_sig_explosive_volume_ratio_20_min,criteria_threshold_sig_explosive_volume_ratio_5_min,criteria_volume_ratio_20,criteria_volume_ratio_5
6679.TWO,鈺太,2026-02-23,,,buy,buy,1.0,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,203.5,0.7941176470588235,0.11705777411829277,qizhang_signal,185.525,182.175,1.5020004255214445,1,0.0654450261780104,67.52136752136752,sig_explosive,False,True,sig_explosive | sig_anchor,qizhang_selection_strategy,0.5,-0.03,0.0,45.0,1.7,3.0,0.6,0.05,1.7,1.45,2.517272513306418,3.0094611199276264
6782.TW,視陽,2026-02-23,,,buy,buy,0.9,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,180.0,0.8823529411764706,0.03151862464183375,qizhang_signal,173.95,174.5,0.5738118322722763,1,0.040462427745664664,57.57575757575758,sig_anchor,True,False,sig_explosive | sig_anchor,qizhang_selection_strategy,0.5,-0.03,0.0,45.0,1.7,3.0,0.6,0.05,1.7,1.45,3.1654578453297804,3.939896443196047
6829.TWO,千附精密,2026-02-23,,,buy,buy,1.0,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,113.0,0.8571428571428571,0.02471094989798228,qizhang_signal,111.0,110.275,-0.1496015513425648,1,0.06103286384976525,50.0,sig_explosive,False,True,sig_explosive | sig_anchor,qizhang_selection_strategy,0.5,-0.03,0.0,45.0,1.7,3.0,0.6,0.05,1.7,1.45,2.3544566919912753,3.991342297235457
6958.TW,日盛台駿,2026-02-23,,,buy,buy,1.0,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,17.450000762939453,1.0,0.11311933716394407,qizhang_signal,15.352500009536744,15.67666662534078,0.20745730237372775,1,0.09748435104380548,78.87323073418352,sig_explosive,False,True,sig_explosive | sig_anchor,qizhang_selection_strategy,0.5,-0.03,0.0,45.0,1.7,3.0,0.6,0.05,1.7,1.45,7.637117364630273,5.2684960363996
6901.TW,鑽石投資,2026-02-23,,,buy,buy,1.0,False,True,True,True,False,True,True,True,False,True,True,True,True,True,True,17.200000762939453,0.7407415779866288,0.022541534630690085,qizhang_signal,17.12999987602234,16.82083336512248,-0.09089903489210818,1,0.07165118881896726,46.55172924082303,sig_explosive,False,True,sig_explosive | sig_anchor,qizhang_selection_strategy,0.5,-0.03,0.0,45.0,1.7,3.0,0.6,0.05,1.7,1.45,1.7202412760736585,2.1969059667268644
6924.TW,榮惠-KY創,2026-02-23,,,buy,buy,1.0,False,True,True,True,False,True,True,True,False,True,True,True,True,True,True,66.0,0.9868423033949809,0.013513513315609682,qizhang_signal,64.01999988555909,65.12000001271566,-0.06603336355712486,1,0.05600000000000005,46.28821775416035,sig_explosive,False,True,sig_explosive | sig_anchor,qizhang_selection_strategy,0.5,-0.03,0.0,45.0,1.7,3.0,0.6,0.05,1.7,1.45,2.108371403176524,2.404162507855532
6881.TWO,潤德,2026-02-23,,,buy,buy,0.9,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,230.0,1.0,0.008108700416392667,qizhang_signal,228.075,228.15,0.12842479808576407,1,0.013215859030837107,57.14285714285714,sig_anchor,True,False,sig_explosive | sig_anchor,qizhang_selection_strategy,0.5,-0.03,0.0,45.0,1.7,3.0,0.6,0.05,1.7,1.45,3.134092284860674,3.0817972350230414
6894.TWO,衛司特,2026-02-23,,,buy,buy,1.0,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,259.0,1.0,0.19180918782115186,qizhang_signal,232.45,217.31666666666666,1.2765898064772125,1,0.0997876857749469,74.10071942446044,sig_explosive,False,True,sig_explosive | sig_anchor,qizhang_selection_strategy,0.5,-0.03,0.0,45.0,1.7,3.0,0.6,0.05,1.7,1.45,5.305120011008225,5.447381601538824
7419.TWO,達勝,2026-02-23,,,buy,buy,1.0,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,28.700000762939453,0.8698631568661161,0.6232267004356462,qizhang_signal,19.622500133514404,17.680833339691162,0.8319275213386931,1,0.1786447767278092,77.50865170654235,sig_explosive,False,True,sig_explosive | sig_anchor,qizhang_selection_strategy,0.5,-0.03,0.0,45.0,1.7,3.0,0.6,0.05,1.7,1.45,8.107059686862303,3.6935625986734757
7607.TWO,通用幹細胞*,2026-02-23,,,buy,buy,1.0,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,19.149999618530273,0.8235288177809692,0.03434304611022232,qizhang_signal,17.992499828338623,18.514166736602782,0.042823988045198214,1,0.13313609767972734,50.0,sig_explosive,False,True,sig_explosive | sig_anchor,qizhang_selection_strategy,0.5,-0.03,0.0,45.0,1.7,3.0,0.6,0.05,1.7,1.45,4.5955527801660825,15.37904056001647
7705.TW,三商餐飲,2026-02-23,,,buy,buy,0.9,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,39.849998474121094,0.7499952316466078,-0.0015242715575012333,qizhang_signal,39.6875,39.91083342234294,0.02183237035093233,1,0.0037782798060213008,56.92302997295673,sig_anchor,True,False,sig_explosive | sig_anchor,qizhang_selection_strategy,0.5,-0.03,0.0,45.0,1.7,3.0,0.6,0.05,1.7,1.45,2.4322663767931303,3.5020148286655974
7758.TWO,睿騰能源,2026-02-23,,,buy,buy,1.0,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,49.95000076293945,0.6093750931322353,0.0649373856805684,qizhang_signal,47.24499988555908,46.904166793823244,0.14979933713962246,1,0.051578963430304325,61.672486186670355,sig_explosive,False,True,sig_explosive | sig_anchor,qizhang_selection_strategy,0.5,-0.03,0.0,45.0,1.7,3.0,0.6,0.05,1.7,1.45,3.66339568418759,2.8462491078019294
7763.TWO,崇舜,2026-02-23,,,buy,buy,1.0,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,173.0,1.0,0.4046388244603154,qizhang_signal,159.9,123.16333351135253,-2.482773149265684,1,0.18493150684931514,54.54545454545455,sig_explosive,False,True,sig_explosive | sig_anchor,qizhang_selection_strategy,0.5,-0.03,0.0,45.0,1.7,3.0,0.6,0.05,1.7,1.45,2.3623088777854973,5.360645268112686
