symbol,stock_name,timestamp,rank,weight,reason,signal,score,selected,criteria_indicator,criteria_long_window,criteria_short_window,criteria_strategy
1614.TW,三洋電,2026-02-23,1,0.03333333333333333,buy,buy,1.0,True,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
1707.TW,葡萄王,2026-02-23,2,0.03333333333333333,buy,buy,1.0,True,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
1714.TW,和桐,2026-02-23,3,0.03333333333333333,buy,buy,1.0,True,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
1216.TW,統一,2026-02-23,4,0.03333333333333333,buy,buy,1.0,True,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
1560.TW,中砂,2026-02-23,5,0.03333333333333333,buy,buy,1.0,True,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
1315.TW,達新,2026-02-23,6,0.03333333333333333,buy,buy,1.0,True,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
1340.TW,勝悅-KY,2026-02-23,7,0.03333333333333333,buy,buy,1.0,True,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
1456.TW,怡華,2026-02-23,8,0.03333333333333333,buy,buy,1.0,True,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
1459.TW,聯發,2026-02-23,9,0.03333333333333333,buy,buy,1.0,True,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
1409.TW,新纖,2026-02-23,10,0.03333333333333333,buy,buy,1.0,True,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
1435.TW,中福,2026-02-23,11,0.03333333333333333,buy,buy,1.0,True,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
1439.TW,雋揚,2026-02-23,12,0.03333333333333333,buy,buy,1.0,True,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
1227.TW,佳格,2026-02-23,13,0.03333333333333333,buy,buy,1.0,True,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
1234.TW,黑松,2026-02-23,14,0.03333333333333333,buy,buy,1.0,True,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
1293.TWO,利統,2026-02-23,15,0.03333333333333333,buy,buy,1.0,True,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
1303.TW,南亞,2026-02-23,16,0.03333333333333333,buy,buy,1.0,True,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
1762.TW,中化生,2026-02-23,17,0.03333333333333333,buy,buy,1.0,True,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
2207.TW,和泰車,2026-02-23,18,0.03333333333333333,buy,buy,1.0,True,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
2008.TW,高興昌,2026-02-23,19,0.03333333333333333,buy,buy,1.0,True,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
2033.TW,佳大,2026-02-23,20,0.03333333333333333,buy,buy,1.0,True,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
2387.TW,精元,2026-02-23,21,0.03333333333333333,buy,buy,1.0,True,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
2107.TW,厚生,2026-02-23,22,0.03333333333333333,buy,buy,1.0,True,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
2108.TW,南帝,2026-02-23,23,0.03333333333333333,buy,buy,1.0,True,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
2258.TW,鴻華先進-創,2026-02-23,24,0.03333333333333333,buy,buy,1.0,True,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
2308.TW,台達電,2026-02-23,25,0.03333333333333333,buy,buy,1.0,True,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
2373.TW,震旦行,2026-02-23,26,0.03333333333333333,buy,buy,1.0,True,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
2415.TW,錩新,2026-02-23,27,0.03333333333333333,buy,buy,1.0,True,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
2427.TW,三商電,2026-02-23,28,0.03333333333333333,buy,buy,1.0,True,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
2516.TW,新建,2026-02-23,29,0.03333333333333333,buy,buy,1.0,True,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
2905.TW,三商,2026-02-23,30,0.03333333333333333,buy,buy,1.0,True,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
2755.TWO,揚秦,2026-02-23,,,buy,buy,1.0,False,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
2816.TW,旺旺保,2026-02-23,,,buy,buy,1.0,False,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
2834.TW,臺企銀,2026-02-23,,,buy,buy,1.0,False,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
2849.TW,安泰銀,2026-02-23,,,buy,buy,1.0,False,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
2548.TW,華固,2026-02-23,,,buy,buy,1.0,False,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
2450.TW,神腦,2026-02-23,,,buy,buy,1.0,False,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
2480.TW,敦陽科,2026-02-23,,,buy,buy,1.0,False,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
2633.TW,台灣高鐵,2026-02-23,,,buy,buy,1.0,False,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
2701.TW,萬企,2026-02-23,,,buy,buy,1.0,False,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
3219.TWO,倚強科,2026-02-23,,,buy,buy,1.0,False,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
3360.TWO,尚立,2026-02-23,,,buy,buy,1.0,False,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
