"Name","Status","ExitCode","StartedAt","EndedAt","LogPath"
"case01_win_a","FAILED","999","2026/3/19 下午 01:06:39","2026/3/19 下午 01:06:39","C:\Users\JIANG\Desktop\AutoPrograming\scripts\parallel_status\run_20260319_130638\case01_win_a.log"
"case02_win_b","FAILED","999","2026/3/19 下午 01:06:39","2026/3/19 下午 01:06:39","C:\Users\JIANG\Desktop\AutoPrograming\scripts\parallel_status\run_20260319_130638\case02_win_b.log"
"case03_win_c","FAILED","999","2026/3/19 下午 01:06:39","2026/3/19 下午 01:06:39","C:\Users\JIANG\Desktop\AutoPrograming\scripts\parallel_status\run_20260319_130638\case03_win_c.log"
"case04_ret_a","FAILED","999","2026/3/19 下午 01:06:39","2026/3/19 下午 01:06:39","C:\Users\JIANG\Desktop\AutoPrograming\scripts\parallel_status\run_20260319_130638\case04_ret_a.log"
"case05_ret_b","FAILED","999","2026/3/19 下午 01:06:39","2026/3/19 下午 01:06:39","C:\Users\JIANG\Desktop\AutoPrograming\scripts\parallel_status\run_20260319_130638\case05_ret_b.log"
"case06_ret_c","FAILED","999","2026/3/19 下午 01:06:39","2026/3/19 下午 01:06:39","C:\Users\JIANG\Desktop\AutoPrograming\scripts\parallel_status\run_20260319_130638\case06_ret_c.log"
