symbol,stock_name,timestamp,rank,weight,reason,signal,score,selected,criteria_check_sig_anchor_close_gt_ma_20,criteria_check_sig_anchor_close_pos,criteria_check_sig_anchor_close_vs_ma60,criteria_check_sig_anchor_macd_histogram,criteria_check_sig_anchor_net_flow,criteria_check_sig_anchor_rsi_14,criteria_check_sig_anchor_volume_ratio_20,criteria_check_sig_anchor_volume_ratio_5,criteria_check_sig_explosive_close_gt_ma_20,criteria_check_sig_explosive_close_pos,criteria_check_sig_explosive_net_flow,criteria_check_sig_explosive_price_change_pct,criteria_check_sig_explosive_volume_ratio_20,criteria_check_sig_explosive_volume_ratio_5,criteria_close,criteria_close_pos,criteria_close_vs_ma60,criteria_indicator,criteria_ma_20,criteria_ma_60,criteria_macd_histogram,criteria_net_flow,criteria_price_change_pct,criteria_rsi_14,criteria_selected_setup,criteria_sig_anchor,criteria_sig_explosive,criteria_signal_formula,criteria_strategy,criteria_threshold_sig_anchor_close_pos_min,criteria_threshold_sig_anchor_close_vs_ma60_min,criteria_threshold_sig_anchor_macd_histogram_min,criteria_threshold_sig_anchor_rsi_14_min,criteria_threshold_sig_anchor_volume_ratio_20_min,criteria_threshold_sig_anchor_volume_ratio_5_min,criteria_threshold_sig_explosive_close_pos_min,criteria_threshold_sig_explosive_price_change_pct_min,criteria_threshold_sig_explosive_volume_ratio_20_min,criteria_threshold_sig_explosive_volume_ratio_5_min,criteria_volume_ratio_20,criteria_volume_ratio_5
1109.TW,信大,2026-02-11,,,buy,buy,0.9,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,15.449999809265137,1.0,-0.0035472502232539727,qizhang_signal,15.442499876022339,15.504999923706055,3.1021046904954747e-05,1,0.006514620541386407,50.0,sig_anchor,True,False,sig_explosive | sig_anchor,qizhang_selection_strategy,0.5,-0.03,0.0,45.0,1.7,3.0,0.6,0.05,1.7,1.45,2.0427164719074655,3.309980666163925
1307.TW,三芳,2026-02-11,,,buy,buy,0.9,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,33.0,0.5666656494140625,0.017916360257249853,qizhang_signal,31.89000005722046,32.419166533152264,0.02038806459854048,1,0.07843135910493748,53.521129409135185,sig_anchor,True,False,sig_explosive | sig_anchor,qizhang_selection_strategy,0.5,-0.03,0.0,45.0,1.7,3.0,0.6,0.05,1.7,1.45,7.552639937968236,7.259955238781095
2204.TW,中華,2026-02-11,,,buy,buy,0.9,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,59.29999923706055,0.7272717814803448,0.012550148874154843,qizhang_signal,56.70499973297119,58.56499977111817,0.34755581762630194,1,0.042179220506524784,66.66666666666666,sig_anchor,True,False,sig_explosive | sig_anchor,qizhang_selection_strategy,0.5,-0.03,0.0,45.0,1.7,3.0,0.6,0.05,1.7,1.45,4.434571553114319,7.185981976148497
2836.TW,高雄銀,2026-02-11,,,buy,buy,0.9,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,12.399999618530273,0.6666645473850183,0.018968670253001862,qizhang_signal,12.110000085830688,12.169166707992554,0.03803879690494554,1,0.008130034654042939,64.99999046323865,sig_anchor,True,False,sig_explosive | sig_anchor,qizhang_selection_strategy,0.5,-0.03,0.0,45.0,1.7,3.0,0.6,0.05,1.7,1.45,3.422122809183478,4.001068412889884
2849.TW,安泰銀,2026-02-11,,,buy,buy,0.9,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,13.449999809265137,0.6666656070292111,0.007616422504725939,qizhang_signal,13.312499904632569,13.348333263397217,0.008533940258970536,1,0.007490593628312725,57.14285714285714,sig_anchor,True,False,sig_explosive | sig_anchor,qizhang_selection_strategy,0.5,-0.03,0.0,45.0,1.7,3.0,0.6,0.05,1.7,1.45,3.758057483547679,3.0221185552695506
2897.TW,王道銀行,2026-02-11,,,buy,buy,0.9,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,9.699999809265137,0.823530071750338,0.060534257535817204,qizhang_signal,9.200000047683716,9.146333312988281,0.048752605272426065,1,0.03191491520313172,95.16132505583619,sig_anchor,True,False,sig_explosive | sig_anchor,qizhang_selection_strategy,0.5,-0.03,0.0,45.0,1.7,3.0,0.6,0.05,1.7,1.45,4.993924532137388,4.427514595015855
2910.TW,統領,2026-02-11,,,buy,buy,0.9,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,21.450000762939453,1.0,0.02325585190067403,qizhang_signal,20.975000190734864,20.962499968210857,0.04028460873218289,1,0.016587695504361344,76.66667090521379,sig_anchor,True,False,sig_explosive | sig_anchor,qizhang_selection_strategy,0.5,-0.03,0.0,45.0,1.7,3.0,0.6,0.05,1.7,1.45,3.449931188151255,3.533290824887576
3184.TWO,微邦,2026-02-11,,,buy,buy,0.9,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,11.899999618530273,0.5971562428036576,0.17151865151394752,qizhang_signal,9.49249997138977,10.157755152384441,0.2119399790350867,1,0.26595745760156575,76.9999929428114,sig_anchor,True,False,sig_explosive | sig_anchor,qizhang_selection_strategy,0.5,-0.03,0.0,45.0,1.7,3.0,0.6,0.05,1.7,1.45,11.933330309162464,18.769603714351348
4305.TWO,世坤,2026-02-11,,,buy,buy,0.9,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,42.900001525878906,0.7500047683533922,0.020841218653510518,qizhang_signal,42.25499992370605,42.024166679382326,0.039638202797893096,1,0.00822567086002457,56.06063758707348,sig_anchor,True,False,sig_explosive | sig_anchor,qizhang_selection_strategy,0.5,-0.03,0.0,45.0,1.7,3.0,0.6,0.05,1.7,1.45,2.7777777777777777,4.166666666666667
4430.TWO,耀億,2026-02-11,,,buy,buy,0.9,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,18.799999237060547,1.0,0.05282803119016677,qizhang_signal,18.227499866485594,17.85666669209798,0.024879076251169946,1,0.024523097887520384,60.52630786420077,sig_anchor,True,False,sig_explosive | sig_anchor,qizhang_selection_strategy,0.5,-0.03,0.0,45.0,1.7,3.0,0.6,0.05,1.7,1.45,2.53780636189814,3.10065289677435
