date,symbol,open,high,low,close,volume,turnover,price_change,price_change_pct,volume_ratio_5,volume_ratio_20,ma_5,ma_10,ma_20,ma_60,rolling_high_20,rolling_low_20,macd_histogram,rsi_14,estimated_inflow,estimated_outflow,flow_ratio_5,flow_momentum_5,chip_concentration_proxy,chip_distribution_5_proxy,cost_basis_ratio_proxy
2026-02-05,6187.TW,385.0,387.5,373.0,374.0,1827480.0,,-15.0,-0.038560411311053984,1.1947018592967715,1.0343277175468273,378.5,380.4,378.95,359.44166666666666,389.5,370.0,-1.5404925581945905,49.029126213592235,0.0,1827480.0,1.1947018592967715,-340091.5,0.01883930397508681,0.24027614010419734,1.012454578482389
2026-02-06,6187.TW,372.5,373.0,360.0,369.0,1158306.0,,-5.0,-0.013368983957219251,0.7777824632349781,0.7409383526555958,376.3,378.4,378.9,360.0,389.5,369.0,-2.091366236097455,49.268292682926834,0.0,1158306.0,0.7777824632349781,0.0,0.010663914718152864,0.25137040110726205,1.0291278919920095
2026-02-09,6187.TW,379.5,394.5,379.0,389.0,2676405.0,,20.0,0.05420054200542006,1.4652500857063488,1.7061893714303382,379.0,379.0,379.35,360.85,389.5,369.0,-1.091118103949678,55.932203389830505,2676405.0,0.0,1.4652500857063488,669101.25,0.010833156372114846,0.22551393751598942,0.9781923803758505
2026-02-10,6187.TW,386.0,392.0,381.0,383.0,1104244.0,,-6.0,-0.015424164524421594,0.5779838286129014,0.7368850350665423,380.8,379.75,379.75,361.8,389.5,369.0,-0.8278639117939823,49.34497816593886,0.0,1104244.0,0.5779838286129014,-696529.0,0.01097727532447552,0.18785071233456851,0.9949601019902439
2026-02-11,6187.TW,383.0,394.0,377.0,391.0,1740874.0,,8.0,0.020887728459530026,1.0231637289770479,1.14169364968428,381.2,380.05,380.45,362.93333333333334,391.0,369.0,-0.14500930027787629,50.63829787234042,1740874.0,0.0,1.0231637289770479,435218.5,0.010561968605089197,0.1672520460770175,0.9764673745590164
