date,symbol,open,high,low,close,volume,turnover,price_change,price_change_pct,volume_ratio_5,volume_ratio_20,ma_5,ma_10,ma_20,ma_60,rolling_high_20,rolling_low_20,macd_histogram,rsi_14,estimated_inflow,estimated_outflow,flow_ratio_5,flow_momentum_5,chip_concentration_proxy,chip_distribution_5_proxy,cost_basis_ratio_proxy
2025-05-12,2368.TW,229.76809261156163,234.65677543308422,219.99072696851647,224.87940979003906,16227273.0,,3.91094970703125,0.017699130932813143,1.5919329490338885,1.9881773376321283,218.13302307128907,207.62235260009766,194.96066513061524,203.57289352416993,224.87940979003906,174.037109375,4.930639008610179,72.72727129419343,16227273.0,0.0,1.5919329490338885,1375007.5,0.00719052223506608,0.15897869905585427,0.8822774296384432
2025-05-13,2368.TW,231.23469199453083,231.23469199453083,217.05751214708602,219.0129852294922,13293681.0,,-5.866424560546875,-0.026086979532826602,1.2416194281434787,1.6126333970901277,218.71966552734375,210.7022232055664,197.08724212646484,203.6299280802409,224.87940979003906,174.037109375,4.24489625535603,73.46937508032033,0.0,13293681.0,1.2416194281434787,0.0,0.007589150969591991,0.16248808872815446,0.9205776137086539
2025-05-14,2368.TW,221.45732835752776,221.94619663204767,217.0575138868484,220.9684600830078,9531014.0,,1.955474853515625,0.008928579515349675,0.8570964804510168,1.1538212807428878,220.9684600830078,213.39099884033203,198.74939422607423,203.6217803955078,224.87940979003906,174.037109375,3.6840349626977105,69.23076070665739,9531014.0,0.0,0.8570964804510168,136053.25,0.007587059669336968,0.142960307942396,0.920981235171159
2025-05-15,2368.TW,220.96845559512866,227.32374303481157,219.5018508013557,224.39053344726562,10096430.0,,3.4220733642578125,0.015486705039136784,0.8901773064921509,1.2030299072043629,222.0439697265625,217.1063980102539,201.0226318359375,203.67881495157877,224.87940979003906,174.037109375,3.316046455755817,73.809514077748,10096430.0,0.0,0.8901773064921509,633652.25,0.007438700570796579,0.13486436417431055,0.9173988563510509
2025-05-16,2368.TW,224.87939804990646,226.34600281979715,220.47958374023438,220.47958374023438,4396374.0,,-3.91094970703125,-0.017429209900026235,0.41053251660124723,0.5246953828651656,221.94619445800782,218.6707763671875,203.07587814331055,203.68696263631185,224.87940979003906,174.037109375,2.6127030981696695,68.48483358082609,0.0,4396374.0,0.41053251660124723,-4056818.25,0.007541396797625345,0.18528779562433534,0.9387528849527071
2025-05-19,2368.TW,217.05751670785503,221.45733123571694,215.1020435843608,215.59091186523438,4892015.0,,-4.888671875,-0.022172900511095654,0.579491983726702,0.5854903255799747,220.08849487304687,219.11075897216796,204.8358039855957,203.42623291015624,224.87940979003906,174.037109375,1.6676854146485045,66.47059115133807,0.0,4892015.0,0.579491983726702,0.0,0.007698633371669662,0.19897797064972367,0.9651659433214572
2025-05-20,2368.TW,219.01298344242682,219.99071997565193,214.61316904291377,217.05751037597656,3951582.0,,1.4665985107421875,0.006802691718558881,0.6011397610673064,0.47472934711598863,219.69739990234376,219.20853271484376,206.64461669921874,203.124764251709,224.87940979003906,174.037109375,1.0225078507284717,64.59627148571766,3951582.0,0.0,0.6011397610673064,-1394858.0,0.007952330754424145,0.20296086801008445,0.9630756667973024
2025-05-21,2368.TW,220.4795923076692,238.56771850585938,219.99072403204244,238.56771850585938,24969914.0,,21.510208129882812,0.09909911936529571,2.5845393091979796,2.6987242199346984,223.21725158691407,222.09285583496094,209.87114715576172,203.32031173706054,238.56771850585938,185.28106689453125,1.875891377054982,77.48691527267283,24969914.0,0.0,2.5845393091979796,3718371.0,0.014309608070401688,0.4124751365280276,0.898013274972496
2025-05-22,2368.TW,238.5677087402344,249.81167861938476,237.5899722290039,244.4341278076172,36261242.0,,5.8664093017578125,0.024590121993448705,2.4345839428480787,3.3793468237096436,227.22597045898436,224.63497009277344,212.63325271606445,203.56474583943685,244.4341278076172,185.28106689453125,2.6211819578492834,74.25149857282338,36261242.0,0.0,2.4345839428480787,9065310.5,0.026165825196282928,0.447391880463376,0.9005367478804014
2025-05-23,2368.TW,242.9675247537037,245.9007343080744,236.12336912683884,238.07884216308594,13386741.0,,-6.35528564453125,-0.025999993133255114,0.8019710862113252,1.210612649044362,230.74582214355468,226.34600830078125,215.27314147949218,203.89065806070963,244.4341278076172,187.23654174804688,2.4737183874559676,66.46706877810058,0.0,13386741.0,0.8019710862113252,0.0,0.024417731424062238,0.37025817197815647,0.9336641855056692
