symbol,stock_name,timestamp,rank,weight,reason,signal,score,selected,criteria_check_sig_anchor_close_gt_ma_20,criteria_check_sig_anchor_close_pos,criteria_check_sig_anchor_close_vs_ma60,criteria_check_sig_anchor_macd_histogram,criteria_check_sig_anchor_net_flow,criteria_check_sig_anchor_rsi_14,criteria_check_sig_anchor_volume_ratio_20,criteria_check_sig_anchor_volume_ratio_5,criteria_check_sig_explosive_close_gt_ma_20,criteria_check_sig_explosive_close_pos,criteria_check_sig_explosive_net_flow,criteria_check_sig_explosive_price_change_pct,criteria_check_sig_explosive_volume_ratio_20,criteria_check_sig_explosive_volume_ratio_5,criteria_close,criteria_close_pos,criteria_close_vs_ma60,criteria_indicator,criteria_ma_20,criteria_ma_60,criteria_macd_histogram,criteria_net_flow,criteria_price_change_pct,criteria_rsi_14,criteria_selected_setup,criteria_sig_anchor,criteria_sig_explosive,criteria_signal_formula,criteria_strategy,criteria_threshold_sig_anchor_close_pos_min,criteria_threshold_sig_anchor_close_vs_ma60_min,criteria_threshold_sig_anchor_macd_histogram_min,criteria_threshold_sig_anchor_rsi_14_min,criteria_threshold_sig_anchor_volume_ratio_20_min,criteria_threshold_sig_anchor_volume_ratio_5_min,criteria_threshold_sig_explosive_close_pos_min,criteria_threshold_sig_explosive_price_change_pct_min,criteria_threshold_sig_explosive_volume_ratio_20_min,criteria_threshold_sig_explosive_volume_ratio_5_min,criteria_volume_ratio_20,criteria_volume_ratio_5
1227.TW,佳格,2026-03-20,,,buy,buy,0.9,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,30.75,1.0,0.03370031293886222,qizhang_signal,29.844999885559083,29.74749994277954,0.11057179867388697,1,0.02499999999999991,61.25000059604673,sig_anchor,True,False,sig_explosive | sig_anchor,qizhang_selection_strategy,0.5,-0.03,0.0,45.0,1.7,3.0,0.6,0.05,1.7,1.45,4.267871872825964,5.16429405389557
2034.TW,允強,2026-03-20,,,buy,buy,0.9,False,True,True,True,True,True,True,True,True,True,False,True,False,True,True,20.5,0.5,-0.01611806102856561,qizhang_signal,20.28499984741211,20.835833231608074,0.058414802982485914,1,0.022443929180190114,50.0,sig_anchor,True,False,sig_explosive | sig_anchor,qizhang_selection_strategy,0.5,-0.03,0.0,45.0,1.7,3.0,0.6,0.05,1.7,1.45,2.018760390208715,3.267545043934978
2379.TW,瑞昱,2026-03-20,,,buy,buy,0.9,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,479.5,0.7777777777777778,-0.02769563527602703,qizhang_signal,472.325,493.15833333333336,2.8115276129969136,1,0.006295907660021083,50.74626865671642,sig_anchor,True,False,sig_explosive | sig_anchor,qizhang_selection_strategy,0.5,-0.03,0.0,45.0,1.7,3.0,0.6,0.05,1.7,1.45,4.339695056296277,6.149039365636558
2520.TW,冠德,2026-03-20,,,buy,buy,0.9,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,33.04999923706055,0.7407394848754574,0.012121964060008539,qizhang_signal,31.997500038146974,32.65416660308838,0.11213104411828001,1,0.042586701628707146,55.10203922753183,sig_anchor,True,False,sig_explosive | sig_anchor,qizhang_selection_strategy,0.5,-0.03,0.0,45.0,1.7,3.0,0.6,0.05,1.7,1.45,5.840768922296528,6.878680764203995
3060.TW,銘異,2026-03-20,,,buy,buy,0.9,False,True,True,True,True,True,True,True,True,True,False,True,False,True,True,34.79999923706055,0.5156247764823689,0.07156601740605728,qizhang_signal,30.872499847412108,32.4758331934611,0.5552782435259405,1,0.04347828573559376,53.164556962025316,sig_anchor,True,False,sig_explosive | sig_anchor,qizhang_selection_strategy,0.5,-0.03,0.0,45.0,1.7,3.0,0.6,0.05,1.7,1.45,4.995449263551253,3.110640691179237
5439.TWO,高技,2026-03-20,,,buy,buy,0.9,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,306.0,0.7659574468085106,0.020453534904401938,qizhang_signal,279.7,299.8666666666667,4.274693194315151,1,0.0497427101200687,57.03971119133574,sig_anchor,True,False,sig_explosive | sig_anchor,qizhang_selection_strategy,0.5,-0.03,0.0,45.0,1.7,3.0,0.6,0.05,1.7,1.45,2.6261806315171277,3.183730496908519
5244.TW,弘凱,2026-03-20,,,buy,buy,0.9,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,39.54999923706055,0.8571426841407974,0.02478837437234116,qizhang_signal,37.124999618530275,38.59333324432373,0.34752964303780254,1,0.03129076429427302,51.15511035930669,sig_anchor,True,False,sig_explosive | sig_anchor,qizhang_selection_strategy,0.5,-0.03,0.0,45.0,1.7,3.0,0.6,0.05,1.7,1.45,5.83589219801374,3.455039634520371
6120.TW,達運,2026-03-20,,,buy,buy,0.9,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,13.949999809265137,0.7333335876464844,0.06821515836058056,qizhang_signal,13.177500104904174,13.059166685740154,0.07322897677159704,1,0.0449437760787057,53.278685192753194,sig_anchor,True,False,sig_explosive | sig_anchor,qizhang_selection_strategy,0.5,-0.03,0.0,45.0,1.7,3.0,0.6,0.05,1.7,1.45,3.331580213784792,4.009178170934031
6121.TWO,新普,2026-03-20,,,buy,buy,0.9,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,352.0,0.6666666666666666,0.009606586955099417,qizhang_signal,337.0,348.65065714518227,3.3319864867917772,1,0.004279600570613384,60.526315789473685,sig_anchor,True,False,sig_explosive | sig_anchor,qizhang_selection_strategy,0.5,-0.03,0.0,45.0,1.7,3.0,0.6,0.05,1.7,1.45,2.4419898663340307,3.117991252261615
6127.TWO,九豪,2026-03-20,,,buy,buy,0.9,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,47.599998474121094,0.5294113247176001,0.2905849195039407,qizhang_signal,37.78000011444092,36.882500139872235,1.106032388562076,1,0.07207200086191534,66.94045280694372,sig_anchor,True,False,sig_explosive | sig_anchor,qizhang_selection_strategy,0.5,-0.03,0.0,45.0,1.7,3.0,0.6,0.05,1.7,1.45,5.141170161457441,3.2733691883216554
